"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2024-09-21","Brian O'Nora","STL","CLE","6","5","149","10","9.2","139","139.8","-0.8","93.3","93.8","-0.5","94.6","0.36","0.92"
"","2024-09-21","Gabe Morales","SD","CWS","6","2","158","15","11.5","143","146.5","-3.5","90.5","92.7","-2.2","93","-0.63","1.71"
"","2024-09-21","Laz Diaz","OAK","NYY","0","10","163","11","13","152","150","2","93.3","92.1","1.2","90.8","-0.39","1.71"
"","2024-09-21","Vic Carapazza","NYM","PHI","6","3","131","8","9.6","123","121.4","1.6","93.9","92.7","1.2","91.6","0.39","1.27"
"","2024-09-21","Chris Segal","MIL","AZ","0","5","177","10","12.4","167","164.6","2.4","94.4","93","1.4","91","-0.38","0.68"
"","2024-09-21","Junior Valentine","MIA","ATL","2","6","136","9","7.4","127","128.6","-1.6","93.4","94.5","-1.1","96.3","0.13","0.77"
"","2024-09-21","Jeremie Rehak","LAD","COL","3","6","176","6","11.7","170","164.3","5.7","96.6","93.3","3.3","90.9","-1.21","1.29"
"","2024-09-21","Chad Whitson","KC","SF","0","9","146","8","9.4","138","136.6","1.4","94.5","93.6","1","96.6","0.35","1.53"
"","2024-09-21","Rob Drake","HOU","LAA","10","4","190","24","9.9","166","180.1","-14.1","87.4","94.8","-7.4","88.9","1.13","2.53"
"","2024-09-21","Charlie Ramos","CIN","PIT","7","1","144","3","4.4","141","139.6","1.4","97.9","96.9","1","96.5","-0.84","0.84"
"","2024-09-21","David Arrieta","CHC","WSH","1","5","134","11","7.9","123","126.1","-3.1","91.8","94.1","-2.3","91","-0.01","2.39"
"","2024-09-21","Ben May","BAL","DET","4","6","167","7","9.5","160","157.5","2.5","95.8","94.3","1.5","93.4","-0.12","0.82"
"","2024-09-20","Nestor Ceja","TEX","SEA","2","8","145","8","11","137","134","3","94.5","92.4","2","92.4","0.05","0.97"
"","2024-09-20","Larry Vanover","TB","TOR","1","0","121","10","8.1","111","112.9","-1.9","91.7","93.3","-1.6","94.2","0.22","0.82"
"","2024-09-20","Shane Livensparger","STL","CLE","1","5","137","11","12.2","126","124.8","1.2","92","91.1","0.9","90.5","-0.57","1.41"
"","2024-09-20","Emil Jimenez","SD","CWS","3","2","157","4","9.2","153","147.8","5.2","97.5","94.2","3.3","92.4","-0.26","0.36"
"","2024-09-20","Erich Bacchus","OAK","NYY","2","4","151","8","10.1","143","140.9","2.1","94.7","93.3","1.4","92.7","-0.33","1.01"
"","2024-09-20","Edwin Moscoso","NYM","PHI","2","12","174","10","11.3","164","162.7","1.3","94.3","93.5","0.8","93.1","-0.24","1.06"
"","2024-09-20","Jansen Visconti","MIL","AZ","4","7","175","9","12.2","166","162.8","3.2","94.9","93","1.8","96","0.26","0.94"
"","2024-09-20","Carlos Torres","MIA","ATL","4","3","145","7","11.2","138","133.8","4.2","95.2","92.3","2.9","93.1","-0.24","0.96"
"","2024-09-20","Bruce Dreckman","LAD","COL","6","4","136","8","10.1","128","125.9","2.1","94.1","92.6","1.6","93.4","-0.56","0.78"
"","2024-09-20","James Hoye","KC","SF","1","2","153","10","12.5","143","140.5","2.5","93.5","91.8","1.6","90.8","0.06","1.1"
